@RELATION all_data_pacman
		@ATTRIBUTE position-x NUMERIC
		@ATTRIBUTE position-y NUMERIC
		@ATTRIBUTE pacman_legal1 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal2 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal3 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal4 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_mov {West, Stop, East, North, South, None}
		@ATTRIBUTE fantasmas NUMERIC
		@ATTRIBUTE booleanP {True, False}
		@ATTRIBUTE booleanG1 {True, False}
		@ATTRIBUTE booleanG2 {True, False}
		@ATTRIBUTE booleanG3 {True, False}
		@ATTRIBUTE booleanG4 {True, False}
		@ATTRIBUTE positiong1-x NUMERIC
		@ATTRIBUTE positiong1-y NUMERIC
		@ATTRIBUTE positiong2-x NUMERIC
		@ATTRIBUTE positiong2-y NUMERIC
		@ATTRIBUTE positiong3-x NUMERIC
		@ATTRIBUTE positiong3-y NUMERIC
		@ATTRIBUTE positiong4-x NUMERIC
		@ATTRIBUTE positiong4-y NUMERIC
		@ATTRIBUTE ghost1_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost2_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost3_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost4_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE distanciaG1 NUMERIC
		@ATTRIBUTE distanciaG2 NUMERIC
		@ATTRIBUTE distanciaG3 NUMERIC
		@ATTRIBUTE distanciaG4 NUMERIC
		@ATTRIBUTE comida NUMERIC
		@ATTRIBUTE Dcomida NUMERIC
		@ATTRIBUTE pacman_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE score NUMERIC
		@ATTRIBUTE score_next NUMERIC
		
			@data
5, 7, West, Stop, East, North, South, 4, False, False, True, False, False, 1, 1, 5, 12, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 9999, 5, 9999, 9999, 1, 15, North, 576, 575
6, 7, West, Stop, East, North, South, 4, False, False, True, False, False, 1, 1, 5, 12, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 9999, 6, 9999, 9999, 1, 14, East, 575, 574
7, 7, West, Stop, East, North, South, 4, False, False, True, False, False, 1, 1, 5, 12, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 9999, 7, 9999, 9999, 1, 13, East, 574, 573
7, 8, West, Stop, East, North, South, 4, False, False, True, False, False, 1, 1, 5, 12, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 9999, 6, 9999, 9999, 1, 12, North, 573, 572
7, 9, West, Stop, East, North, South, 4, False, False, True, False, False, 1, 1, 5, 12, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 9999, 5, 9999, 9999, 1, 11, North, 572, 571
7, 10, West, Stop, East, North, South, 4, False, False, True, False, False, 1, 1, 5, 12, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 9999, 4, 9999, 9999, 1, 12, North, 571, 570
7, 11, West, Stop, East, North, South, 4, False, False, True, False, False, 1, 1, 5, 12, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 9999, 3, 9999, 9999, 1, 13, North, 570, 569
7, 12, West, Stop, East, North, South, 4, False, False, True, False, False, 1, 1, 5, 12, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 9999, 2, 9999, 9999, 1, 14, North, 569, 568
6, 12, West, Stop, East, North, South, 4, False, False, True, False, False, 1, 1, 5, 12, 5, 1, 7, 1, Stop, Stop, Stop, Stop, 9999, 1, 9999, 9999, 1, 15, West, 568, 767
12, 10, West, Stop, East, North, South, 4, False, True, True, True, True, 5, 6, 5, 12, 13, 6, 13, 12, Stop, Stop, Stop, Stop, 11, 9, 5, 3, 1, 7, Stop, -1, -2
12, 10, West, Stop, East, North, South, 4, False, True, True, True, True, 5, 5, 5, 11, 14, 6, 12, 12, South, South, East, West, 12, 8, 6, 2, 1, 7, Stop, -2, -3
13, 10, West, Stop, East, North, South, 4, False, True, True, True, True, 5, 5, 6, 11, 13, 6, 13, 12, South, East, West, East, 13, 8, 4, 2, 1, 6, East, -3, -4
13, 11, West, Stop, East, North, South, 4, False, True, True, True, True, 5, 6, 6, 12, 13, 7, 14, 12, North, North, North, East, 13, 8, 4, 2, 1, 7, North, -4, -5
13, 12, West, Stop, East, North, South, 4, False, True, True, True, True, 5, 7, 6, 11, 13, 8, 14, 11, North, South, North, South, 13, 8, 4, 2, 1, 8, North, -5, -6
13, 13, West, Stop, East, North, South, 4, False, True, True, True, True, 5, 8, 6, 12, 12, 8, 14, 10, North, North, West, South, 13, 8, 6, 4, 1, 9, North, -6, -7
13, 12, West, Stop, East, North, South, 4, False, True, True, True, True, 5, 8, 5, 12, 12, 7, 14, 9, North, West, South, South, 12, 8, 6, 4, 1, 8, South, -7, -8
13, 11, West, Stop, East, North, South, 4, False, True, True, True, True, 4, 8, 4, 12, 13, 7, 14, 8, West, West, East, South, 12, 10, 4, 4, 1, 7, South, -8, -9
14, 11, West, Stop, East, North, South, 4, False, True, True, True, True, 3, 8, 3, 12, 12, 7, 14, 8, West, West, West, South, 14, 12, 6, 3, 1, 6, East, -9, -10
14, 10, West, Stop, East, North, South, 4, False, True, True, True, True, 3, 7, 3, 11, 11, 7, 14, 7, South, South, West, South, 14, 12, 6, 3, 1, 5, South, -10, -11
14, 9, West, Stop, East, North, South, 4, False, True, True, True, True, 3, 8, 3, 11, 11, 7, 14, 8, North, South, West, North, 12, 13, 5, 1, 1, 4, South, -11, -12
14, 8, West, Stop, East, North, South, 4, False, True, True, True, True, 3, 9, 2, 11, 11, 7, 13, 8, North, West, West, West, 12, 15, 4, 1, 1, 5, South, -12, -13
14, 7, West, Stop, East, North, South, 4, False, True, True, True, True, 4, 9, 2, 12, 11, 8, 13, 9, East, North, North, North, 12, 17, 4, 3, 1, 6, South, -13, -14
13, 7, West, Stop, East, North, South, 4, False, True, True, True, True, 3, 9, 2, 12, 11, 7, 13, 9, West, North, South, North, 12, 16, 2, 2, 1, 7, West, -14, -15
13, 8, West, Stop, East, North, South, 4, False, True, True, True, True, 3, 9, 2, 11, 11, 8, 13, 9, West, South, North, North, 11, 14, 2, 1, 1, 6, North, -15, -16
13, 9, West, Stop, East, North, South, 4, False, True, True, True, True, 2, 9, 3, 11, 10, 8, 14, 9, West, East, West, East, 11, 12, 4, 1, 1, 5, North, -16, -17
13, 10, West, Stop, East, North, South, 4, False, True, True, True, True, 1, 9, 3, 11, 10, 8, 14, 8, West, East, West, South, 13, 11, 5, 3, 1, 6, North, -17, -18
14, 10, West, Stop, East, North, South, 4, False, True, True, True, True, 1, 8, 4, 11, 11, 8, 15, 8, South, East, East, East, 15, 11, 5, 3, 1, 5, East, -18, -19
15, 10, West, Stop, East, North, South, 4, False, True, True, True, True, 1, 7, 3, 11, 11, 9, 14, 8, South, West, North, West, 17, 13, 5, 3, 1, 4, East, -19, -20
15, 9, West, Stop, East, North, South, 4, False, True, True, True, True, 1, 6, 3, 11, 11, 10, 15, 8, South, West, North, East, 17, 14, 5, 1, 1, 3, South, -20, -21
15, 8, West, Stop, East, North, South, 4, False, True, True, True, True, 1, 5, 3, 12, 11, 9, 14, 8, South, North, South, West, 17, 16, 5, 1, 1, 4, South, -21, -22
15, 7, West, Stop, East, North, South, 4, False, True, True, True, True, 1, 6, 4, 12, 11, 9, 13, 8, North, East, South, West, 15, 16, 6, 3, 1, 5, South, -22, -23
14, 7, West, Stop, East, North, South, 4, False, True, True, True, True, 1, 6, 4, 12, 11, 10, 12, 8, North, East, North, West, 14, 15, 6, 3, 1, 6, West, -23, -24
13, 7, West, Stop, East, North, South, 4, False, True, True, True, True, 1, 7, 3, 12, 11, 10, 12, 9, North, West, North, North, 12, 15, 5, 3, 1, 7, West, -24, -25
